drone,generation,startDate,endDate,latitude,longitude,imagePath
764,9,2018-11-28T14:19:12.085Z,2018-11-28T14:25:12.085Z,-0.94473,-69.57898,https://s3.amazonaws.com/bucket/path/fb93d9c6-e957-e783-1011-9a204b18365b.jpg
367,7,2018-11-29T14:19:12.087Z,2018-11-29T14:48:12.087Z,-0.7787,172.7915,https://s3.amazonaws.com/bucket/path/7e944e2c-d39b-a7df-737e-f0ab75f7eb76.jpg
912,5,2018-11-26T14:19:12.087Z,2018-11-26T14:23:12.087Z,9.46118,-157.30308,https://s3.amazonaws.com/bucket/path/0512701e-a638-fc02-d910-544a08b87fd0.jpg
448,1,2018-11-29T14:19:12.087Z,2018-11-29T14:42:12.087Z,38.53118,-100.96337,https://s3.amazonaws.com/bucket/path/527582ef-4d6f-8e00-cdb3-abefa9dacfef.jpg
44,7,2018-11-30T14:19:12.087Z,2018-11-30T14:48:12.087Z,-10.48771,-126.56643,https://s3.amazonaws.com/bucket/path/d1b056a6-aa97-8e6a-cace-494c94cc31ab.jpg
728,4,2018-11-28T14:19:12.087Z,2018-11-28T14:46:12.087Z,-68.92601,-47.2994,https://s3.amazonaws.com/bucket/path/5bbae441-f55d-b794-9204-cd4cd67ef1b9.jpg
538,0,2018-11-29T14:19:12.087Z,2018-11-29T14:30:12.087Z,-85.88182,38.92745,https://s3.amazonaws.com/bucket/path/0619eeec-8d46-da76-4813-63221c807d93.jpg
495,7,2018-11-26T14:19:12.087Z,2018-11-26T14:45:12.087Z,-2.70499,175.01198,https://s3.amazonaws.com/bucket/path/014adf1c-b04d-fd4b-796b-1ae4c89943f7.jpg
193,7,2018-11-25T14:19:12.087Z,2018-11-25T14:26:12.087Z,-24.20824,52.29737,https://s3.amazonaws.com/bucket/path/ccc997a2-b48d-a663-5e87-9397e954355f.jpg
822,1,2018-11-22T14:19:12.087Z,2018-11-22T14:39:12.087Z,-44.28176,104.51897,https://s3.amazonaws.com/bucket/path/27ad12aa-5280-4d10-2702-748eda78d289.jpg
211,5,2018-11-27T14:19:12.087Z,2018-11-27T14:21:12.087Z,49.53599,73.67124,https://s3.amazonaws.com/bucket/path/3afde313-95d4-0d09-ce91-0ed9c691651a.jpg
762,7,2018-11-30T14:19:12.087Z,2018-11-30T14:48:12.087Z,25.76335,-84.28371,https://s3.amazonaws.com/bucket/path/b663b515-d8ee-8a5b-dc94-7b8b0803161c.jpg
190,8,2018-11-30T14:19:12.087Z,2018-11-30T14:31:12.087Z,-25.14767,-104.21178,https://s3.amazonaws.com/bucket/path/219a42d6-dec4-4ba8-17d6-f47c6199ce86.jpg
24,0,2018-11-23T14:19:12.087Z,2018-11-23T14:45:12.087Z,-84.76793,81.61491,https://s3.amazonaws.com/bucket/path/d4d78dda-ed38-4e4b-1cd7-4237be9b7a4f.jpg
453,2,2018-11-28T14:19:12.087Z,2018-11-28T14:49:12.087Z,87.10388,92.82344,https://s3.amazonaws.com/bucket/path/bef8c417-63c0-0b42-8a7b-e21b5b0b7168.jpg
188,9,2018-11-22T14:19:12.087Z,2018-11-22T14:43:12.087Z,66.4183,107.27901,https://s3.amazonaws.com/bucket/path/ad31707e-362f-5047-0dde-9feaa37ef71d.jpg
274,9,2018-11-25T14:19:12.087Z,2018-11-25T14:22:12.087Z,-79.57187,63.8927,https://s3.amazonaws.com/bucket/path/ea9bf870-6dfc-aa35-8cb2-2a4136432a11.jpg
560,6,2018-11-26T14:19:12.087Z,2018-11-26T14:48:12.087Z,53.97126,-30.5926,https://s3.amazonaws.com/bucket/path/920091ec-962f-4b37-fb22-4ddf32889c56.jpg
200,5,2018-11-28T14:19:12.087Z,2018-11-28T14:49:12.087Z,-11.37969,-75.24738,https://s3.amazonaws.com/bucket/path/a9a1df47-ebaa-f887-4bca-88b0c20620aa.jpg
758,0,2018-11-22T14:19:12.087Z,2018-11-22T14:34:12.087Z,41.74121,28.80655,https://s3.amazonaws.com/bucket/path/26bcfb96-6531-6ec8-125b-40f394733e92.jpg
154,3,2018-11-30T14:19:12.087Z,2018-11-30T14:31:12.087Z,80.54699,114.79154,https://s3.amazonaws.com/bucket/path/35ac0889-c349-e9f6-28b5-3c6f31f9be0a.jpg
600,8,2018-11-22T14:19:12.087Z,2018-11-22T14:30:12.087Z,-16.00321,113.65151,https://s3.amazonaws.com/bucket/path/378a8fe1-0b9c-48d2-02f7-be6b105db846.jpg
482,2,2018-11-22T14:19:12.087Z,2018-11-22T14:35:12.087Z,78.11296,-170.86432,https://s3.amazonaws.com/bucket/path/674f9633-bc15-16a5-8909-af8351884e61.jpg
22,7,2018-11-26T14:19:12.087Z,2018-11-26T14:32:12.087Z,-49.93255,-114.69182,https://s3.amazonaws.com/bucket/path/d360f3a4-d7d4-029a-c806-71c772700420.jpg
984,8,2018-11-30T14:19:12.087Z,2018-11-30T14:34:12.087Z,33.84418,-93.2343,https://s3.amazonaws.com/bucket/path/62fc306a-f661-f3ee-be2f-87bc374b51cb.jpg
73,2,2018-11-23T14:19:12.087Z,2018-11-23T14:49:12.087Z,-73.09902,142.2526,https://s3.amazonaws.com/bucket/path/040df3a6-c2b1-b1f1-dae3-309ddd996a66.jpg
114,1,2018-11-30T14:19:12.087Z,2018-11-30T14:46:12.087Z,-47.19926,16.28925,https://s3.amazonaws.com/bucket/path/4a0475e5-05a3-0ce8-bdac-424b71a09c65.jpg
108,3,2018-11-30T14:19:12.087Z,2018-11-30T14:39:12.087Z,56.83332,107.10701,https://s3.amazonaws.com/bucket/path/527798cf-d38c-b1bb-43d2-8271913ae2d2.jpg
184,4,2018-11-25T14:19:12.087Z,2018-11-25T14:29:12.087Z,12.50862,-76.90467,https://s3.amazonaws.com/bucket/path/929625cc-253f-18b7-cfab-b8b49d733ed9.jpg
639,4,2018-11-30T14:19:12.087Z,2018-11-30T14:49:12.087Z,-7.40728,-83.36006,https://s3.amazonaws.com/bucket/path/21516a23-717d-616d-24f7-92fbbee8e6ea.jpg
607,8,2018-11-30T14:19:12.087Z,2018-11-30T14:24:12.087Z,69.27139,145.83941,https://s3.amazonaws.com/bucket/path/a11d74aa-2eac-434f-de87-396402a7ba57.jpg
775,4,2018-11-30T14:19:12.087Z,2018-11-30T14:33:12.087Z,-70.82942,-143.55362,https://s3.amazonaws.com/bucket/path/611abd71-6d6f-4029-1bf1-002aaa2b9eeb.jpg
949,4,2018-11-22T14:19:12.087Z,2018-11-22T14:24:12.087Z,86.47747,38.23675,https://s3.amazonaws.com/bucket/path/26cbf7ec-173b-e6bd-ecbe-fbea08b26b1a.jpg
934,8,2018-11-23T14:19:12.087Z,2018-11-23T14:37:12.087Z,-53.94038,70.58559,https://s3.amazonaws.com/bucket/path/9a197e68-6cb1-ac05-c9da-b50ea9cec93b.jpg
622,9,2018-11-30T14:19:12.087Z,2018-11-30T14:48:12.087Z,-16.02887,115.23954,https://s3.amazonaws.com/bucket/path/9d62f416-a766-aa8f-3aa5-779cf039865b.jpg
25,3,2018-11-28T14:19:12.087Z,2018-11-28T14:45:12.087Z,-22.77999,16.52412,https://s3.amazonaws.com/bucket/path/968256a4-e283-9171-9f22-dba79d80c626.jpg
620,5,2018-11-29T14:19:12.087Z,2018-11-29T14:46:12.087Z,24.32074,27.34593,https://s3.amazonaws.com/bucket/path/89ac973f-e0b9-85e8-f789-ca647b7015d0.jpg
746,3,2018-11-30T14:19:12.087Z,2018-11-30T14:47:12.087Z,-68.76514,95.18312,https://s3.amazonaws.com/bucket/path/c3d2a34b-298b-2755-f00a-be7bc539149a.jpg
731,6,2018-11-28T14:19:12.087Z,2018-11-28T14:36:12.087Z,58.22109,104.02728,https://s3.amazonaws.com/bucket/path/6afaccb3-0b95-d22d-b573-dbd0d7f14845.jpg
651,4,2018-11-22T14:19:12.087Z,2018-11-22T14:37:12.087Z,47.81337,-42.39366,https://s3.amazonaws.com/bucket/path/7bc76c2d-8f38-2ed1-6200-edc14292cbd4.jpg
652,9,2018-11-28T14:19:12.087Z,2018-11-28T14:28:12.087Z,13.57714,172.3634,https://s3.amazonaws.com/bucket/path/ea10f8c1-e013-f3cf-19dd-f3f240570126.jpg
468,9,2018-11-26T14:19:12.087Z,2018-11-26T14:33:12.087Z,26.29378,-124.41337,https://s3.amazonaws.com/bucket/path/76ddb32f-f18f-855c-9b70-7615abce41e8.jpg
364,0,2018-11-29T14:19:12.087Z,2018-11-29T14:46:12.087Z,11.72532,-98.40267,https://s3.amazonaws.com/bucket/path/02633ab1-c553-596d-7a35-39c47fbb3ea8.jpg
254,3,2018-11-28T14:19:12.087Z,2018-11-28T14:30:12.087Z,-35.70483,158.70209,https://s3.amazonaws.com/bucket/path/13c3d2e6-aa77-307b-902c-3b6acdfce53d.jpg
893,1,2018-11-23T14:19:12.087Z,2018-11-23T14:42:12.087Z,-11.79314,7.76782,https://s3.amazonaws.com/bucket/path/a3d2d80e-226f-fe04-7289-24a6227322c8.jpg
383,1,2018-11-23T14:19:12.087Z,2018-11-23T14:45:12.087Z,-5.81548,140.69446,https://s3.amazonaws.com/bucket/path/644374fa-5ccf-e983-4caf-08d821b3b442.jpg
724,6,2018-11-26T14:19:12.087Z,2018-11-26T14:45:12.087Z,37.24922,-43.06256,https://s3.amazonaws.com/bucket/path/c4e9f5a4-52d6-8ebe-ecbe-b6f41ea0a1b1.jpg
857,6,2018-11-26T14:19:12.087Z,2018-11-26T14:36:12.087Z,57.62342,-151.86411,https://s3.amazonaws.com/bucket/path/8fbde960-5294-a3c5-6851-b676997fbb4a.jpg
257,6,2018-11-23T14:19:12.087Z,2018-11-23T14:25:12.087Z,-74.8791,149.57628,https://s3.amazonaws.com/bucket/path/d454dc5e-4cd1-7e9a-1ebe-a3edae5a5511.jpg
104,8,2018-11-27T14:19:12.087Z,2018-11-27T14:28:12.087Z,-7.76479,-25.75396,https://s3.amazonaws.com/bucket/path/acf01f62-22c1-92cc-6629-959126e3cc0a.jpg
943,4,2018-11-30T14:19:12.087Z,2018-11-30T14:29:12.087Z,-72.09026,-172.3992,https://s3.amazonaws.com/bucket/path/7d989290-3d73-421a-8e9d-4ab18fe143fc.jpg
